Era,Time,Sig_Landed,Sig_Att,TD_Landed,TD_Att,Sig_Landed_Per_Min,Sig_Att_Per_Min,TD_Landed_Per_Min,TD_Att_Per_Min
Dark Ages,8.133333333333333,12,13,0,0,1.4754098360655739,1.598360655737705,0.0,0.0
Dark Ages,12.0,11,18,1,5,0.9166666666666666,1.5,0.08333333333333333,0.4166666666666667
Dark Ages,3.716666666666667,11,22,1,1,2.9596412556053813,5.9192825112107625,0.26905829596412556,0.26905829596412556
Dark Ages,0.2833333333333333,1,2,0,0,3.5294117647058822,7.0588235294117645,0.0,0.0
Dark Ages,8.0,13,28,3,3,1.625,3.5,0.375,0.375
Dark Ages,8.266666666666667,34,43,1,1,4.112903225806451,5.201612903225806,0.12096774193548386,0.12096774193548386
Dark Ages,0.8833333333333333,5,7,1,1,5.660377358490567,7.9245283018867925,1.1320754716981132,1.1320754716981132
Dark Ages,3.733333333333333,1,2,1,1,0.2678571428571429,0.5357142857142858,0.2678571428571429,0.2678571428571429
Dark Ages,13.0,19,31,3,3,1.4615384615384615,2.3846153846153846,0.23076923076923078,0.23076923076923078
Dark Ages,4.05,0,0,2,2,0.0,0.0,0.4938271604938272,0.4938271604938272
Dark Ages,1.85,0,1,0,1,0.0,0.5405405405405405,0.0,0.5405405405405405
Dark Ages,10.083333333333334,6,17,0,0,0.5950413223140496,1.6859504132231404,0.0,0.0
Dark Ages,0.2666666666666666,1,1,0,0,3.750000000000001,3.750000000000001,0.0,0.0
Dark Ages,8.0,13,31,3,4,1.625,3.875,0.375,0.5
Dark Ages,9.75,42,80,1,1,4.3076923076923075,8.205128205128204,0.10256410256410256,0.10256410256410256
Dark Ages,8.0,18,27,0,0,2.25,3.375,0.0,0.0
Dark Ages,10.383333333333333,5,17,0,2,0.48154093097913325,1.637239165329053,0.0,0.1926163723916533
Dark Ages,9.033333333333331,6,14,0,0,0.6642066420664208,1.5498154981549819,0.0,0.0
Dark Ages,8.0,45,75,0,2,5.625,9.375,0.0,0.25
Dark Ages,0.3666666666666666,2,4,1,1,5.454545454545456,10.909090909090912,2.727272727272728,2.727272727272728
Dark Ages,6.466666666666667,20,28,0,0,3.0927835051546393,4.329896907216495,0.0,0.0
Dark Ages,5.633333333333334,22,42,0,0,3.9053254437869818,7.455621301775148,0.0,0.0
Dark Ages,8.0,28,42,3,3,3.5,5.25,0.375,0.375
Dark Ages,0.8666666666666667,1,1,1,1,1.1538461538461537,1.1538461538461537,1.1538461538461537,1.1538461538461537
Dark Ages,11.016666666666667,27,72,1,1,2.4508320726172466,6.535552193645991,0.0907715582450832,0.0907715582450832
Dark Ages,8.0,31,54,1,1,3.875,6.75,0.125,0.125
Dark Ages,12.0,46,98,2,2,3.8333333333333335,8.166666666666666,0.16666666666666666,0.16666666666666666
Dark Ages,0.7166666666666667,11,16,0,0,15.348837209302326,22.325581395348838,0.0,0.0
Dark Ages,0.7333333333333333,7,13,0,0,9.545454545454547,17.72727272727273,0.0,0.0
Dark Ages,7.666666666666667,23,33,0,0,3.0,4.304347826086956,0.0,0.0
Dark Ages,8.116666666666667,24,35,0,0,2.9568788501026693,4.312114989733059,0.0,0.0
Dark Ages,3.45,9,16,1,1,2.608695652173913,4.63768115942029,0.2898550724637681,0.2898550724637681
Dark Ages,8.0,14,40,3,5,1.75,5.0,0.375,0.625
Dark Ages,9.0,31,44,4,4,3.4444444444444446,4.888888888888889,0.4444444444444444,0.4444444444444444
Dark Ages,13.0,19,34,1,9,1.4615384615384615,2.6153846153846154,0.07692307692307693,0.6923076923076923
Dark Ages,6.866666666666666,15,30,2,2,2.1844660194174756,4.368932038834951,0.29126213592233013,0.29126213592233013
Dark Ages,7.95,24,37,1,1,3.0188679245283017,4.654088050314465,0.12578616352201258,0.12578616352201258
Dark Ages,8.0,42,135,0,0,5.25,16.875,0.0,0.0
Dark Ages,7.516666666666667,37,76,6,7,4.92239467849224,10.110864745011087,0.7982261640798226,0.9312638580931264
Dark Ages,8.0,16,29,0,0,2.0,3.625,0.0,0.0
Dark Ages,13.0,27,71,3,3,2.076923076923077,5.461538461538462,0.23076923076923078,0.23076923076923078
Dark Ages,7.25,31,61,0,0,4.275862068965517,8.413793103448276,0.0,0.0
Dark Ages,9.933333333333334,26,42,2,5,2.61744966442953,4.228187919463087,0.20134228187919462,0.5033557046979865
Dark Ages,0.7166666666666667,8,14,0,0,11.162790697674419,19.53488372093023,0.0,0.0
